activity_id,title,description,status,start_date,end_date,spent_time,expected_time
1,Se!,"Ne tu, inquam, Cato, verbis illustribus et id, quod vis, declarantibus! itaque mihi videris Latine docere philosophiam et ei quasi civitatem dare. quae quidem adhuc peregrinari Romae videbatur nec offerre sese nostris sermonibus, et ista maxime propter limatam quandam et rerum et verborum tenuitatem. scio enim esse quosdam, qui quavi.",FINISHED,2018-08-28,2018-08-31,1456,1440
2,Se!,"Constituto autem illo, de quo ante diximus, quod honestum esset, id esse solum bonum, intellegi necesse est pluris id, quod honestum sit, aestimandum esse quam illa media, quae ex eo comparentur. stultitiam autem et timiditatem et iniustitiam et intemperantiam cum dicimus esse fugiendas propter eas res, quae ex ipsis eveniant!",FINISHED,2018-08-31,2018-09-03,1341,1440
3,Magn?,"Ad altiora quaedam etmagnificentiora, mihi crede, Torquate, nati sumus, nec id ex animisolum partibus, in quibus inest memoria rerum innumerabilium, in tequidem infinita, inest coniectura consequentium non multum adivinatione differens, inest moderator cupiditatis pudor, inest adhumanam societatem iustitiae fida custodia, inest in perpetiendislaboribus adeundisque periculis firma et stabilis doloris mortisquecontempti!",FINISHED,2018-09-03,2018-09-06,1469,1440
4,It?,"Sed dum dialecticam, Torquate, contemnit Epicurus, quae una continet omnem et perspiciendi quid inquaque re sit scientiam et iudicandi quale quidque sit et rationeac via disputandi, ruit in dicendo, ut mihi quidem videtur, nec ea, quae docere vult, ulla arte distinguit, ut haec ipsa, quae modoloquebamur. summum a vobis bonu!",FINISHED,2018-09-06,2018-09-09,1499,1440
5,Elicere!,"Quodsi corporis gravioribus morbis vitae iucunditas impeditur, quanto magis animi morbis impediri necesse est! animi autem morbi sunt cupiditates inmensae et inanes divitiarum, gloriae, dominationis, libidinosarum etiam voluptatum. accedunt aegritudines, molestiae, maerores, qui exedunt animos conficiuntque curis hominum non intellegentium nihil dolendum esse animo, quod sit a dolore corporis praesent.",FINISHED,2018-09-09,2018-09-12,1493,1440
6,Quods!,"Hanc ego cum teneam sententiam, quid est cur verear, ne ad eam non possim accommodare Torquatos nostros? quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. quorum facta quem ad modum, quaeso, interpretaris?",FINISHED,2018-09-12,2018-09-15,1404,1440
7,Ia.,"Praeclare, inquit, facis, cum et eorum memoriam tenes, quorum uterque tibi testamento liberos suos commendavit, et puerum diligis. quod autem meum munus dicis non equidem recuso, sed te adiungo socium. addo etiam illud, multa iam mihi dare signa puerum et pudoris et ingenii, sed aetatem vides. Video equidem, inquam, se!",FINISHED,2018-09-15,2018-09-18,1411,1440
8,Extremu?,"Iis igitur est difficilius satis facere, qui se Latina scripta dicunt contemnere. in quibus hoc primum est in quo admirer, cur in gravissimis rebus non delectet eos sermo patrius, cum idem fabellas Latinas ad verbum e Graecis expressas non inviti legant. quis enim tam inimicus paene nomini Romano est, qu.",FINISHED,2018-09-18,2018-09-21,1471,1440
9,Nem.,"Nec vero ignoro varias philosophorum fuisse sententias, eorum dico, qui summum bonum, quod ultimum appello, in animo ponerent. quae quamquam vitiose quidam secuti sunt, tamen non modo iis tribus, qui virtutem a summo bono segregaverunt, cum aut voluptatem aut vacuitatem doloris aut prima naturae in summis bonis ponerent, sed etia!",FINISHED,2018-09-21,2018-09-24,1517,1440
10,Veru!,"Deinceps explicatur differentia rerum, quam si non ullam esse diceremus, confunderetur omnis vita, ut ab Aristone, neque ullum sapientiae munus aut opus inveniretur, cum inter res eas, quae ad vitam degendam pertinerent, nihil omnino interesset, neque ullum dilectum adhiberi oporteret. itaque cum esset satis constitutum id solum esse bonum, quo!",FINISHED,2018-09-24,2018-09-27,1411,1440
11,A!,"Traditur, inquit, ab Epicuro rationeglegendi doloris. Iam id ipsum absurdum, maximum malum neglegi.sed quae tandem ista ratio est? Maximus dolor, inquit, brevis est.Primum quid tu dicis breve? deinde dolorem quem maximum? quid enim?summus dolor plures dies manere non potest? vide, ne etiam menses!nisi forte eum dicis, qui, simul atque arripuit.",FINISHED,2018-09-27,2018-09-30,1447,1440
12,Haec!,"Videmus in quodam volucriumgenere non nulla indicia pietatis, cognitionem, memoriam, in multisetiam desideria videmus. ergo in bestiis erunt secreta e voluptatehumanarum quaedam simulacra virtutum, in ipsis hominibus virtusnisi voluptatis causa nulla erit? et homini, qui ceterisanimantibus plurimum praestat, praecipue a natura nihil datum essedicemus? Nos vero, siquidem in voluptatesunt omnia?",FINISHED,2018-09-30,2018-10-03,1458,1440
13,Se.,"Non prorsus, inquit, omnisque, quisine dolore sint, in voluptate, et ea quidem summa, esse dico. Ergoin eadem voluptate eum, qui alteri misceat mulsum ipse non sitiens, et eum, qui illud sitiens bibat? Tum ille: Finem, inquit, interrogandi, si videtur, quod quidem ego a principio ita me malledixeram hoc ipsum providens.",FINISHED,2018-10-03,2018-10-06,1332,1440
14,Atqu.,"Hanc ego cum teneam sententiam, quid est cur verear, ne ad eam non possim accommodare Torquatos nostros? quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. quorum facta quem ad modum, quaeso, interpretaris?",FINISHED,2018-10-06,2018-10-09,1322,1440
15,Est.,"Haec, quae praeposita dicimus, partim sunt per se ipsa praeposita, partim quod aliquid efficiunt, partim utrumque, per se, ut quidam habitus oris et vultus, ut status, ut motus, in quibus sunt et praeponenda quaedam et reicienda; alia ob eam rem praeposita dicentur, quod ex se aliquid efficiant, ut pecunia, ali.",FINISHED,2018-10-09,2018-10-12,1420,1440
