activity_id,report_date,spent_time
1,2019-09-26,480
1,2019-09-27,480
1,2019-09-28,420
1,2019-09-29,360
1,2019-09-30,360
1,2019-10-01,795
2,2019-10-01,360
2,2019-10-02,420
2,2019-10-03,360
2,2019-10-04,420
2,2019-10-05,360
2,2019-10-06,1057
3,2019-10-06,480
3,2019-10-07,480
3,2019-10-08,360
3,2019-10-09,360
3,2019-10-10,420
3,2019-10-11,660
4,2019-10-11,420
4,2019-10-12,360
4,2019-10-13,360
4,2019-10-14,480
4,2019-10-15,360
4,2019-10-16,835
5,2019-10-16,480
5,2019-10-17,420
5,2019-10-18,420
5,2019-10-19,360
5,2019-10-20,420
5,2019-10-21,857
6,2019-10-21,420
6,2019-10-22,420
6,2019-10-23,360
6,2019-10-24,480
6,2019-10-25,480
6,2019-10-26,824
7,2019-10-26,480
7,2019-10-27,360
7,2019-10-28,420
7,2019-10-29,420
7,2019-10-30,480
7,2019-10-31,812
8,2019-10-31,360
8,2019-11-01,420
8,2019-11-02,480
8,2019-11-03,420
8,2019-11-04,420
8,2019-11-05,865
9,2019-11-05,360
9,2019-11-06,360
9,2019-11-07,360
9,2019-11-08,480
9,2019-11-09,360
9,2019-11-10,1051
10,2019-11-10,420
10,2019-11-11,480
10,2019-11-12,420
10,2019-11-13,420
10,2019-11-14,480
10,2019-11-15,690
11,2019-11-15,420
11,2019-11-16,480
11,2019-11-17,420
11,2019-11-18,360
11,2019-11-19,420
11,2019-11-20,854
12,2019-11-20,480
12,2019-11-21,480
12,2019-11-22,360
12,2019-11-23,360
12,2019-11-24,360
12,2019-11-25,814
13,2019-11-25,360
13,2019-11-26,420
13,2019-11-27,360
13,2019-11-28,480
13,2019-11-29,420
13,2019-11-30,730
14,2019-11-30,360
14,2019-12-01,420
14,2019-12-02,480
14,2019-12-03,420
14,2019-12-04,360
14,2019-12-05,728
15,2019-12-05,480
15,2019-12-06,360
15,2019-12-07,420
15,2019-12-08,360
15,2019-12-09,420
15,2019-12-10,733
16,2019-12-10,360
16,2019-12-11,480
16,2019-12-12,420
16,2019-12-13,420
16,2019-12-14,360
16,2019-12-15,937
17,2019-12-15,420
17,2019-12-16,480
17,2019-12-17,360
17,2019-12-18,420
17,2019-12-19,480
17,2019-12-20,810
18,2019-12-20,420
18,2019-12-21,420
18,2019-12-22,420
18,2019-12-23,360
18,2019-12-24,360
18,2019-12-25,963
19,2019-12-25,480
19,2019-12-26,420
19,2019-12-27,360
19,2019-12-28,420
19,2019-12-29,420
19,2019-12-30,807
20,2019-12-30,480
20,2019-12-31,480
20,2020-01-01,360
20,2020-01-02,420
20,2020-01-03,480
20,2020-01-04,770
21,2020-01-04,480
21,2020-01-05,480
21,2020-01-06,360
21,2020-01-07,360
21,2020-01-08,420
21,2020-01-09,845
22,2020-01-09,360
22,2020-01-10,480
